t_sec,sent_total,done_total,ok_total,err_total,sent_rps,done_rps,inflight,avg_latency,p50_latency,p95_latency
1.0,179,178,0,178,178,178,1,0.000957,0.000942,0.001665
2.0,358,357,0,357,179,179,1,0.000875,0.000738,0.001672
3.0,537,537,0,537,179,180,0,0.001111,0.000930,0.001980
4.0,716,716,0,716,179,179,0,0.000852,0.000893,0.001434
5.0,895,895,0,895,179,179,0,0.001095,0.000923,0.001908
6.0,1075,1075,0,1075,180,180,0,0.001105,0.000862,0.002229
7.0,1254,1254,0,1254,179,179,0,0.000796,0.000672,0.001508
8.0,1433,1433,0,1433,179,179,0,0.001183,0.000945,0.002154
9.0,1613,1613,0,1613,180,180,0,0.001053,0.000879,0.001673
10.0,1792,1792,0,1792,179,179,0,0.001154,0.000931,0.002297
11.0,1792,1792,0,1792,0,0,0,0.000000,0.000000,0.000000
